Код_региона,ЛогинОО,Класс,Код_предмета,Year,n_students,mean_score,median_score,std_score,min_score,max_score,score_range,high_score_share,low_score_share,skewness,kurtosis,mean_raw_score,std_raw_score,location_type,settlement_size,settlement_name,is_special_school,total_students_oo,jump_to_3,share_near_3,jump_to_4,share_near_4,jump_to_5,share_near_5,max_threshold_jump,max_threshold_share,region_mean,region_std,region_group_count,z_mean_region,context_mean,context_std,context_group_count,z_mean_context,z_mean_final,flag_small_sample,flag_high_mean,flag_low_std,flag_high_min,flag_high_share,flag_threshold_jump,flag_context_extreme,risk_score,profile_type,risk_label
16,sch16163386,4,2,2019,98,0.8438775510204082,0.85,0.08784997244910564,0.65,1.0,0.35,0.7755102040816326,0.0,-0.027629551132737257,-0.771164210892969,16.877551020408163,1.756999448982113,2. Город,7. 450–680 тыс. человек,Набережные Челны,0.0,1060.0,0.0,0.0,0.0,0.0,0.2653061224489796,0.4489795918367347,0.2653061224489796,0.4489795918367347,0.6425132995975866,0.08827334543412951,1292,2.2811444432349246,0.6746591357576496,0.07574633779906714,67,2.234014477526894,2.234014477526894,False,True,True,True,True,False,False,3,профиль риска,1
16,sch16163420,4,2,2019,10,0.8150000000000001,0.825,0.16740669042783207,0.35,0.95,0.6,0.9,0.1,-1.9720466861588037,3.0865251093987878,16.3,3.348133808556641,2. Город,7. 450–680 тыс. человек,Набережные Челны,1.0,164.0,0.1,0.1,0.0,0.0,0.4,0.4,0.4,0.4,0.6425132995975866,0.08827334543412951,1292,1.9540066092898314,0.6746591357576496,0.07574633779906714,67,1.8527742504810425,1.8527742504810425,False,False,False,False,True,True,False,3,профиль риска,1
16,sch16164053,4,2,2019,11,0.9090909090909091,0.9,0.05142594772265799,0.8,1.0,0.19999999999999996,1.0,0.0,-0.36874513784532675,-0.0031738281250013323,18.181818181818183,1.02851895445316,1. Столица субъекта РФ,8. Более 680 тыс. человек,Казань,1.0,171.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6425132995975866,0.08827334543412951,1292,3.0199105764292735,0.6880158038194435,0.07336943919195893,163,3.013176980855194,3.013176980855194,False,True,True,True,True,False,True,4,профиль риска,1
16,sch16166266,4,2,2019,14,0.7964285714285716,0.8,0.12169089312429159,0.45,0.95,0.49999999999999994,0.6428571428571429,0.0,-1.3140786653583512,2.163994774174456,15.928571428571429,2.433817862485832,1. Столица субъекта РФ,8. Более 680 тыс. человек,Казань,0.0,120.0,0.0,0.0,-0.07142857142857142,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.6425132995975866,0.08827334543412951,1292,1.7436211471767336,0.6880158038194435,0.07336943919195893,163,1.4776284077282387,1.4776284077282387,False,False,False,False,True,True,False,3,профиль риска,1
18,sch18183076,4,2,2019,50,0.909,0.925,0.09364293886887574,0.65,1.0,0.35,0.9,0.0,-0.7732913437811317,-0.2857086008088303,18.18,1.8728587773775152,1. Столица субъекта РФ,7. 450–680 тыс. человек,город,0.0,756.0,0.0,0.0,0.0,0.0,0.12,0.2,0.12,0.2,0.6261335384723705,0.08763208959901546,518,3.227886757259381,0.6838254459092392,0.08219257705263715,58,2.7395972016616077,2.7395972016616077,False,True,True,True,True,False,True,4,профиль риска,1
18,sch18183287,4,2,2019,16,0.765625,0.775,0.08788975694015772,0.55,0.9,0.35,0.5,0.0,-0.4814206839992073,0.15654303071373166,15.3125,1.757795138803154,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Подгорное,0.0,154.0,0.0,0.0,0.0625,0.0625,0.0625,0.6875,0.0625,0.6875,0.6261335384723705,0.08763208959901546,518,1.5917851801310539,0.623120515206713,0.0643895629867478,68,2.2131612358141997,2.2131612358141997,False,True,True,True,True,False,False,3,профиль риска,1
19,sch19190038,4,2,2019,11,0.759090909090909,0.8,0.14588005941710194,0.5,0.95,0.44999999999999996,0.6363636363636364,0.0,-0.6191232775253926,-0.6132246206051484,15.181818181818182,2.9176011883420387,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,село Солнечное,0.0,110.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.5454545454545454,0.6204273390589993,0.0797566002195076,168,1.7385842632494026,0.6000155243718661,0.08292882525063552,51,1.9182158222821786,1.9182158222821786,False,False,False,False,True,True,False,3,профиль риска,1
19,sch19190114,4,2,2019,14,0.8250000000000001,0.8,0.16339041762425532,0.4,1.0,0.6,0.6428571428571429,0.07142857142857142,-0.9763838962828413,0.777060659276744,16.5,3.267808352485107,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Куйбышево,0.0,159.0,0.0,0.0,-0.07142857142857142,0.07142857142857142,0.35714285714285715,0.5,0.35714285714285715,0.5,0.6204273390589993,0.0797566002195076,168,2.564962152072331,0.6135963379097599,0.07849825120747032,48,2.6931002772469643,2.6931002772469643,False,True,False,False,True,True,True,4,профиль риска,1
20,sch20103355,4,2,2019,17,0.4088235294117647,0.4,0.09430129142283175,0.3,0.65,0.35000000000000003,0.0,0.7058823529411765,0.9021793371159772,0.3521892837136078,8.176470588235293,1.886025828456635,не указано,не указано,не указано,0.0,807.0,0.35294117647058826,0.35294117647058826,-0.23529411764705882,0.5882352941176471,-0.058823529411764705,0.058823529411764705,0.35294117647058826,0.5882352941176471,0.5498325143511807,0.08856657909897887,501,-1.5921240988864367,0.5619448721065478,0.11398464704984096,49,-1.3433505885036356,-1.3433505885036356,False,False,True,False,False,True,False,3,профиль риска,1
20,sch20106084,4,2,2019,17,0.8705882352941177,0.85,0.08921029934178293,0.7,1.0,0.30000000000000004,0.8823529411764706,0.0,0.05138867385051883,-0.8796739130434763,17.41176470588235,1.784205986835659,2. Город,8. Более 680 тыс. человек,г. Грозный ,0.0,64.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.35294117647058826,0.23529411764705882,0.35294117647058826,0.5498325143511807,0.08856657909897887,501,3.6216338511220094,0.7063766339869281,0.142231598177988,3,1.154536709217708,3.6216338511220094,False,True,True,True,True,False,True,4,профиль риска,1
